ID,SMILES,Clinical_Filtered Abnormal Hepatic Fun _IC50,Clinical_Filtered Cholecystiti_IC50,Clinical_Filtered Cholelitiasi_IC50,Clinical_Filtered Cholestasi_IC50,Clinical_Filtered cholestatic Jaundice_IC50,Clinical_Filtered Hepatic Failure_IC50,Clinical_Filtered Hepatic necrosi_IC50,Clinical_Filtered Hepatic Steatosi_IC50,Clinical_Filtered Hepatiti_IC50,Clinical_Filtered HepatoBiliary disorder_IC50,Clinical_Filtered HepatoCellular injury_IC50,Clinical_Filtered Hepatomegaly_IC50,Clinical_Filtered Hepatotoxicity_IC50,Clinical_Filtered Hyperbilirubinemia_IC50,Clinical_Filtered Jaundice_IC50,Clinical_Filtered Liver Injury_IC50
0,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,200.0,200.0,,,,200.0,,200.0,,,,,200.0,,,200.0
1,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1.Cl,800.0,,,,,,,,,,,800.0,,,,
2,C/C([O-])=N/c1nnc(S(N)(=O)=O)s1.[Na+],500.0,,,,500.0,500.0,500.0,,,,,,,,,
3,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,30.0,,,,,30.0,10.0,10.0,10.0,,,10.0,,30.0,10.0,
4,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1.O=C(O)/C=C\C(=O)O,40.0,,,,,50.0,,,40.0,,,,,50.0,40.0,
5,COc1ccc2cccc(CCNC(C)=O)c2c1,50.0,,,,,25.0,,,25.0,,,,50.0,,25.0,
6,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O.O=C(O)c1ccccc1,25.0,25.0,25.0,,25.0,25.0,,,5.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
7,Cl.N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,40.0,,,,,,,,,,,,,,,
8,Nc1ccc(C(=O)O)c(O)c1,20000.0,,,,,,,,4000.0,,,12000.0,,,4000.0,
9,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1.Cl,600.0,600.0,,,,,800.0,,24.0,,800.0,1600.0,800.0,,800.0,
10,C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]2(O)C[C@H](O)[C@@H](C(=O)O)[C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](C)[C@@H](O)[C@H]1C)O2,3.0,5.0,,,,3.0,,,0.0,,1.0,5.0,6.0,0.0,5.0,
11,Cl.O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,5.0,,,,,,,,2.0,,,,,,2.0,
12,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,5.0,200.0,,5.0,,5.0,100.0,,5.0,5.0,200.0,5.0,200.0,5.0,,
13,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,20.0,,,,,5.0,,,20.0,,,,20.0,,20.0,20.0
14,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,500.0,,,,,500.0,,,,,,500.0,,,500.0,
15,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,30.0,30.0,30.0,,,30.0,,,30.0,30.0,,30.0,,2.0,30.0,30.0
16,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C.O=S(=O)(O)O,400.0,400.0,400.0,400.0,,400.0,,,400.0,300.0,300.0,300.0,300.0,400.0,400.0,200.0
17,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Ca+2],80.0,,,80.0,80.0,80.0,,,80.0,,,,,,80.0,80.0
18,O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,1500.0,,,,,,,,750.0,,,,,,,
19,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,10.0,20.0,,,,,,,,,,,40.0,40.0,40.0,
20,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,500.0,,,,3.0,3.0,500.0,,500.0,,,,,,3.0,
21,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,3000.0,,,,,,,,3000.0,,,,,,3000.0,
22,O=C([O-])CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)[O-])c2)cc1.[Na+],2.0,,,,75000.0,2.0,2.0,,,,75000.0,,75000.0,,75000.0,
23,CC(C)(CCCCCC(O)CCCCCC(C)(C)C(=O)O)C(=O)O,180.0,180.0,180.0,,,,,,,180.0,,,,,,
24,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O.Cl,40.0,,,,,,,,,,,,,40.0,,
25,COc1ccc(NC(=O)c2ccc(C(=N)N(C)C)cc2)c(C(=O)Nc2ccc(Cl)cn2)c1.O=C(O)/C=C\C(=O)O,80.0,80.0,80.0,,,,,80.0,80.0,80.0,80.0,80.0,,80.0,,
26,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,50.0,,,,,,,,150.0,,,150.0,,,150.0,50.0
27,Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,45.0,,,,,60.0,,,,,,,45.0,,,
28,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,125.0,,,,,250.0,,,250.0,,,,,3.0,125.0,
29,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl.O,500.0,,,,,,,,600.0,,600.0,,500.0,600.0,,600.0
30,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1.Cl,400.0,,,,,,,,400.0,,450.0,,,,400.0,900.0
31,CS(=O)(=O)OCCCCOS(C)(=O)=O,2.0,,,,,,,,,,,2.0,,4.0,4.0,
32,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F.Cl,400.0,,,,,,,,400.0,,,,400.0,,,
33,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,3.0,,,,,,,,,,3.0,,,,3.0,
34,NC(=O)N1c2ccccc2C=Cc2ccccc21,1200.0,,,,1200.0,1000.0,,,1000.0,,1200.0,,,,,
35,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1.Cl,12.0,,,,,,,,12.0,,,,,12.0,,
36,CC(=O)O.CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,70.0,,,70.0,,50.0,,,,,,70.0,70.0,50.0,50.0,
37,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,30.0,,,30.0,,,,,,,,,,,,
38,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,600.0,,,600.0,,600.0,,,14.0,,,,,14.0,600.0,
39,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1.[Cl-],2000.0,2000.0,,,,2000.0,,,,,2000.0,,,2000.0,2000.0,
40,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(CCNC(=O)c4ccc(O)c(O)c4Cl)CCCC3)CS[C@H]12)c1csc(N)n1)C(=O)O.Cc1ccc(S(=O)(=O)O)cc1.O=S(=O)(O)O,2000.0,2000.0,2000.0,2000.0,,2000.0,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,,2000.0
41,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1.Cl,2000.0,,,2000.0,,,,,,,,,,,,
42,CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]21.[Na+],4000.0,,,,,4000.0,,,,,,,,,,
43,COCC1=C(C(=O)OC(C)OC(=O)OC(C)C)N2C(=O)[C@@H](NC(=O)/C(=N/OC)c3csc(N)n3)[C@H]2SC1,800.0,200.0,200.0,800.0,,,,,,,,,,,,
44,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,3000.0,,,3000.0,,,,,,,,,,24.0,,
45,CC(C)(O/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@@H]12)c1csc(N)n1)C(=O)[O-].[Na+],3000.0,,,,,,,,,,,,,,,
46,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OC(C)OC(C)=O)=C(COC(N)=O)CS[C@H]12)c1ccco1,1000.0,,,1000.0,,,,,,,,,,,1000.0,
47,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CS[C@H]12)c1ccco1.[Na+],2250.0,,,,,,,,,,,,,,,
48,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,800.0,,800.0,,,400.0,,,400.0,,,,,,400.0,
49,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl,400.0,,400.0,,,,,250.0,,,,,,,,
50,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,750.0,,,750.0,,,,,750.0,,750.0,,750.0,750.0,750.0,750.0
51,Cl.O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,10.0,,,5.0,,,10.0,,10.0,,,,,,20.0,
52,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)[O-].C[N+](C)(C)CCO,135.0,135.0,135.0,,,,,135.0,135.0,,,,,,135.0,
53,Cl.O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,500.0,400.0,400.0,,5000.0,400.0,2000.0,,2000.0,,,400.0,,300.0,2000.0,
54,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1.O=C(O)/C=C/C(=O)O,34.0,,,,,,,,,,,,,,,
55,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21.Cl,250.0,,,,,,,,200.0,,,,250.0,,250.0,250.0
56,O=C([O-])C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O.[K+].[OH-],90.0,,,,,,,,,,,,,,,
57,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,300.0,,,,,250.0,,,300.0,,,,250.0,300.0,,250.0
58,O=C([O-])c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)[O-])cc(=O)c34)cccc2o1.[Na+],4.0,,,,,,,,,,,,,,,
59,O=P1(N(CCCl)CCCl)NCCCO1,5.0,,,5.0,,5.0,50.0,,5.0,,,5.0,,,50.0,
60,CCCCCCOC(=O)NC(=N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1.CS(=O)(=O)O,220.0,,,,,,,,,300.0,150.0,,150.0,220.0,,
61,CC(O)c1cc(C(=O)N[C@@H](C)Cn2ccc(-c3ccc(C#N)c(Cl)c3)n2)n[nH]1,600.0,,,,,,,,,,,,,,,
