ID,SMILES,Filtered Abnormal Hepatic Fun _IC50,Filtered Cholecystiti_IC50,Filtered Cholelitiasi_IC50,Filtered Cholestasi_IC50,Filtered cholestatic Jaundice_IC50,Filtered Hepatic Failure_IC50,Filtered Hepatic necrosi_IC50,Filtered Hepatic Steatosi_IC50,Filtered Hepatiti_IC50,Filtered HepatoBiliary disorder_IC50,Filtered HepatoCellular injury_IC50,Filtered Hepatomegaly_IC50,Filtered Hepatotoxicity_IC50,Filtered Hyperbilirubinemia_IC50,Filtered Jaundice_IC50,Filtered Liver Injury_IC50
0,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,0.403639476134199,0.403639476134199,,,,0.403639476134199,,0.403639476134199,,,,,0.403639476134199,,,0.403639476134199
1,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,-0.1984205151937633,,,,,,,,,,,-0.3761926896328121,,,,
2,C/C([O-])=N/c1nnc(S(N)(=O)=O)s1,0.0056994674621615,,,,-0.3541004655739104,0.0056994674621615,-0.3541004655739104,,,,,,,,,
3,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,1.227548217078518,,,,,1.227548217078518,1.7002510191068947,1.7002510191068947,1.513798047567147,,,1.7002510191068947,,1.115671519385237,1.809968903272764,
4,COc1ccc2cccc(CCNC(C)=O)c2c1,0.8279272930231126,,,,,1.3067294631261426,,,1.1158580388951096,,,,0.8938227697688806,,1.4120288946007264,
5,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,0.9248373060311692,,,,,,,,,,,,,,,
6,Nc1ccc(C(=O)O)c(O)c1,-1.956160456901873,,,,,,,,-0.9018089722210676,,,-2.415772460736456,,,-1.2159071724310049,
7,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,-0.0779002312767488,-0.309275406910699,,,,,-0.0933155348498273,,1.3200397773952888,,-0.0933155348498273,-1.0702171858137175,-0.3102972128870442,,-0.516937168094986,
8,C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]2(O)C[C@H](O)[C@@H](C(=O)O)[C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](C)[C@@H](O)[C@H]1C)O2,1.909031564177295,1.7699058391369258,,,,2.2231297643872323,,,0.0,,2.809774452142116,1.4349327925061883,1.814641523721256,0.0,1.6871828145609389,
9,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,1.6871828145609389,,,,,,,,2.3992210234429137,,,,,,2.188607915180957,
