ID,SMILES,Filtered cholestatic Jaundice_IC50,Filtered Hepatic Failure_IC50,Filtered Hepatic necrosi_IC50,Filtered Hepatiti_IC50,Filtered HepatoCellular injury_IC50,Filtered Hepatotoxicity_IC50,Filtered Hyperbilirubinemia_IC50,Filtered Jaundice_IC50,Filtered Liver Injury_IC50
0,CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,1.2207775140640411,,,0.6679355454062603,,0.7046694717981803,0.5927927741048994,0.6679355454062603,
1,C/C([O-])=N/c1nnc(S(N)(=O)=O)s1,-0.3541004655739104,0.0056994674621615,-0.3541004655739104,,,,,,
2,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,0.8148280432311283,1.0056994674621615,,0.9689655410702416,0.8148280432311283,1.1948527654328618,1.1948527654328618,,
3,O=c1[nH]cnc2[nH]ncc12,-0.6442484535414367,,-0.6442484535414367,,,,-0.2643532028164965,,
4,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,1.0547215507945822,,,,,1.5136115280572746,,,
5,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-],0.659691629826971,0.483062831905014,,0.483062831905014,,,,0.2819901478894737,0.6748932755042283
6,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,2.085660362099252,1.909031564177295,0.1108044478060974,-0.3128171854390612,,,,1.707958880161755,
7,O=C([O-])CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)[O-])c2)cc1,-2.12870578725204,2.0851228232329766,2.755971608752508,,-2.065286811249584,-2.2822684892868006,,-2.065286811249584,
8,CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,-0.0317957742439838,-0.6474766141001026,0.2788503540328451,-0.391998431486686,0.1875634901566805,,,-0.3035009088280698,-0.2001679878874717
9,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,2.4453254804756788,,,,,,,,
10,NC(=O)N1c2ccccc2C=Cc2ccccc21,-0.2047017476840279,-0.4220167375038282,,-0.1902255478578837,-0.5150492070236191,,,,
11,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,-0.824490505972422,0.0602311952317714,-0.4265504973003843,-0.4912555435218649,,,0.4885934858206618,-0.6493702030352592,
12,Cc1nc2c([nH]1)-c1ccccc1N(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)CC2,0.7952982523159721,0.7485698056367784,,1.1539116174245452,,0.7805225272089708,,,
13,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,2.2724195070356346,,,,,,,0.1442954848116974,0.1442954848116974
14,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,1.6983882393079155,,1.4938296796257615,,,,,1.4628370622533362,
15,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl,0.6983882393079156,0.5973462941920316,0.8908623551488832,0.9526897882927032,0.4306651143337782,1.7639574351044114,0.1202250394723691,0.3745112823624103,1.8775570620843745
